Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active,average_age
100%,,????,2012/9/18,TOP Media,4,7,Perfection,Yes,20
14U,,???,2017/4/17,BG,14,14,,Yes,22
1the9,,????,2019/2/9,MBK,9,9,,Yes,19
24K,,????,2012/9/6,Choeun,8,6,24U,Yes,22
2AM,,????,2008/6/21,"JYP, Big Hit",4,4,I Am,No,20
2PM,,???,2008/7/4,JYP,6,7,Hottest,Yes,20
8Eight,,???,2007/9/6,Big Hit,3,3,Sweet Voice,No,23
A-JAX,,????,2012/6/1,DSP,5,7,A-LIGHT,No,21
A.C.E,ACE,???,2017/5/23,Beat,5,5,Choice,Yes,22
A.cian,,???,2012/10/10,Wings,4,5,,No,20
A6P,,?????,2015/5/20,DS,6,6,,No,20
AB6IX,,?????,2019/5/22,Brand New,5,5,ABNEW,Yes,20
AlphaBat,,???,2013/11/14,Simtong,5,9,,Yes,22
ASTRO,,????,2016/2/23,Fantagio,6,6,AROHA,Yes,19
ATEEZ,,????,2018/10/24,KQ,8,8,,Yes,19
B.A.P,BAP,????,2012/1/27,TS,6,6,BABY,No,24
B.Heart,,???,2017/1/25,Poong,4,4,,Yes,0
B.I.G,,????,2014/7/9,GH,5,5,,Yes,24
B1A4,,?????,2010/4/19,WM,5,5,BANA,Yes,25
Be.A,,???,2017/5/25,Chrome,3,5,,Yes,23
Beatwin,,???,2014/1/6,Elen,2,6,,Hiatus,25
BIGBANG,,??,2006/8/19,YG,4,5,VIP,Yes,18
Bigflo,,???,2014/7/19,HO,5,5,,Yes,23
BIGSTAR,,???,2012/7/12,Brave,5,5,,No,21
BLACK6IX,,????,2017/4/7,BLACK HOLE,6,6,,Yes,24
Blanc7,,????,2017/3/3,Jackpot,7,7,Prism,No,26
BLK,,????,2017/11/28,Byking,7,7,,No,24
Block B,,???,2011/4/13,KQ,7,7,BBC,Yes,21
Boyfriend,,?????,2011/5/26,Starship,6,6,Bestfriend,No,22
Boys Republic,,?????,2013/6/3,"Happy Tribe, Universal",5,5,Royal Family,Hiatus,24
BtoB,,???,2012/3/21,Cube,7,7,Melody,Yes,21
BTS,Bangtan Boys,?????,2013/6/13,Big Hit,7,7,ARMY,Yes,23
C-Clown,,????,2012/6/19,Yedang,6,6,Crown,No,22
CICI,,??,2019/6/27,UPVOTE,4,4,,Yes,22
CIX,,?????,2019/7/23,C9,5,5,,Yes,19
CNBLUE,,????,2010/1/14,FNC,4,4,Boice,Yes,20
CRAVITY,,????,2020/4/4,Starship,9,9,,Yes,23
CROSS GENE,,????,2012/7/8,Amuse,5,6,Chromosome,Yes,20
D-Crunch,,????,2018/8/6,All-S,9,9,,Yes,21
Dalmatian,DMTN,????,2010/9/1,Monkey Funch,7,7,Dalmate,No,24
DAY6,,????,2015/9/7,JYP,5,6,,Yes,21
DKB,Darkbee,???,2020/2/3,Brave,9,9,,Yes,20
ENOi,,?????,2019/4/19,KITHEWHALE,7,7,,Yes,20
EXO,,??,2012/4/8,SM,9,12,EXO-L,Yes,20
Fly to the Sky,,??? ? ? ???,1999/11/21,"SM, H2",2,2,Fly High,Yes,18
FTISLAND,,??? ????,2007/6/7,FNC,4,5,Primadonna,Yes,16
g.o.d.,,???,1999/1/26,"JYP, SidusHQ",5,5,Fan God,Yes,22
Golden Child,,?? ???,2017/8/28,Woollim,10,11,,Yes,20
GOT7,,???,2014/1/16,JYP,7,7,I GOT7,Yes,19
GreatGuys,,?????,2017/8/25,DNA,9,9,Grace,Yes,19
H.B.Y,Hot Blood Youth,????,2017/8/16,Rainbow,5,5,,Yes,24
H.O.T,,?????,1996/9/7,SM,5,5,Club H.O.T,No,17
HALO,,???,2014/7/26,Histar,6,6,,Yes,21
HIGH4,,???,2014/4/8,NAP,4,4,,No,22
Highlight,Beast,?????,2009/10/14,Around Us,4,6,B2uty,Yes,19
HISTORY,,????,2013/4/26,LOEN,5,5,Storia,No,21
Homme,,??,2010/6/28,Big Hit,2,2,,Yes,26
Honeyst,,????,2017/5/17,FNC,4,4,,Yes,21
Hotshot,,??,2014/10/29,Star Crew,5,6,,Yes,21
iKON,,???,2015/9/15,YG,6,7,iKONIC,Yes,19
Imfact,,???,2016/1/27,Star Empire,5,5,,Yes,22
IN2IT,,???,2017/10/26,MMO,7,8,,Yes,23
Infinite,,????,2010/6/9,Woollim,6,7,Inspirit,Yes,19
INX,,???,2016/8/2,NA,5,5,,No,20
IZ,,???,2017/8/31,Music K,4,4,,Yes,17
JBJ,,?????,2017/10/18,Fave,6,6,,No,21
JBJ95,,?????95,2018/10/30,Hunus,2,2,,Yes,23
JJCC,,??????,2014/3/13,Jackie Chan Group,5,6,,Yes,23
JYJ,,??????,2010/9/8,C-JeS,3,3,Cassiopeia,Yes,24
K-Much,,????,2014/1/7,Chrome,4,5,,No,23
KNK,,???,2016/3/3,YNB,5,5,Tinker Bell,Yes,22
Limitless,,?????,2019/7/9,ONO,4,4,,Yes,23
LU:KUS,,???,2014/7/4,JWK,4,5,,Yes,22
Lucente,,???,2018/9/18,NOGA,7,7,,Yes,22
M.I.B,,????,2011/10/26,Jungle,4,4,,No,22
M.O.N.T,MONT,??,2019/1/4,FM,3,3,,Yes,21
Madtown,,????,2014/10/6,GNI,7,7,,No,23
MAP6,,???,2015/11/10,DreamT,5,5,,Yes,23
Masc,,???,2016/8/19,JJ Holic,4,8,,Yes,26
MBLAQ,,???,2009/10/14,J. Tune,3,5,A+,Yes,22
Mfect,M.fect,???,2015/4/27,Midas,5,5,,Yes,22
MONSTA X,,?????,2014/5/14,Starship,6,7,Monbebe,Yes,21
MR.MR,,??????,2012/10/4,WinningIn,6,5,,Yes,21
MustB,,????,2019/1/21,MustM,7,7,,Yes,24
MVP,,????,2017/3/13,PH,7,7,,Yes,23
MXM,,????,2017/9/6,Brand New,2,2,,Yes,21
MYNAME,,????,2011/10/27,H2,5,5,MYgirl,Yes,20
Myteen,,???,2017/7/26,The Music Works,6,7,,Yes,19
N-Sonic,,???,2011/10/5,C2K,6,5,,No,21
N-Train,,????,2011/5/27,MediaLine,5,5,,No,22
N.Flying,,????,2015/5/20,FNC,4,4,N.Fia,Yes,22
NCT,,???,2016/4/9,SM,18,18,NCTzen,Yes,14
Newkidd,,???,2019/4/25,J-FLO,7,7,,Yes,19
Noir,,???,2018/4/9,LUK,9,9,,Yes,23
NTB,,???,2018/5/28,High Choice,6,6,,Yes,23
NU'EST,,????,2012/3/15,Pledis,5,5,LOŁNŁH,Yes,17
Oneus,,???,2019/1/9,RBW,6,6,,Yes,22
ONF,,????,2017/8/2,WM,6,7,,Yes,22
PENTAGON,PTG,???,2016/10/10,Cube,9,10,,Yes,21
Phantom,,??,2011/11/25,"Brand New, RBW",3,3,,No,26
RAINZ,,???,2017/10/12,(Genie),7,7,Rainzer,No,20
Road Boyz,,?? ???,2015/11/17,Coconut,5,5,,No,24
ROMEO,,???,2015/11/4,CT,7,7,,Yes,19
SECHKIES,6KIES,????,1997/4/15,"DSP, YG",5,6,Yellowkies,Yes,18
Seven O'Clock,SOC,?????,2017/3/16,"Staro, KDH",5,6,,Yes,20
Seventeen,SVT,???,2015/5/26,Pledis,13,13,Carat,Yes,18
SF9,,??????,2016/10/5,FNC,9,9,Fantasy,Yes,20
SG Wannabe,,SG ???,2004/1/20,B2M,3,4,,Yes,20
SHINee,,???,2008/5/22,SM,4,5,Shawol,Yes,17
Shinhwa,,??,1998/3/24,"SM, Good, Shinhwa",6,6,Shinhwa Changjo,Yes,18
Signal,,???,2019/8/28,J-Star,4,4,,Yes,26
Snuper,,???,2015/11/16,Widmay,6,6,Swing,Yes,21
Spectrum,,????,2018/5/9,WYNN,6,7,,Yes,22
Speed,,???,2013/1/15,MBK,7,7,,No,21
SS501,,???????,2005/6/8,"DSP, CI",5,5,Triple S,No,18
Stray Kids,SKZ,???? ??,2018/3/26,JYP,9,9,,Yes,20
Super Junior,SJ,?????,2005/11/6,SM,11,12,ELF,Yes,20
Supernova,,???,2007/9/21,CJ E&M,5,6,,Yes,21
Target,,??,2018/1/23,TNS,7,7,,Yes,22
Teen Top,,??,2010/7/9,TOP Media,5,6,Angel,Yes,17
The Boyz,,????,2017/12/31,Cre.Ker,12,12,,Yes,19
The Eastlight,,? ??????,2016/11/3,MediaLine,6,6,,No,22
The Legend,,??,2014/7/9,SS,5,5,,No,13
THE MAN BLK,,? ? ??,2018/11/15,Stardium,10,10,,Yes,23
ToppDogg,,??,2013/10/22,"Stardom, Hunus",5,13,ToppKlass,No,20
TRAX,,???,2004/7/20,SM,2,4,,No,20
TRCNG,,?????,2017/10/10,TS,10,10,,Yes,17
TST,Top Secret,????,2017/1/4,JSL,7,7,,Yes,22
Turbo,,??,1995/9/6,"MBK, Turbo Co.",3,2,,Hiatus,14
TVXQ!,TVXQ,????,2003/12/26,SM,2,5,Cassiopeia,Yes,18
TXT,,?????????,2019/3/4,Big Hit,5,5,,Yes,18
U-KISS,,???,2008/8/28,NH Media,6,6,Kissme,Yes,18
UNB,,???,2018/4/7,Unit Culture,9,9,,No,23
UNIQ,,???,2014/10/20,Yuehua,5,5,Unicorn,Yes,20
UP10TION,,???,2015/9/11,TOP Media,10,10,HONEY10,Yes,19
Varsity,,???,2017/1/5,GKC,12,12,,Yes,19
VAV,,??????,2015/10/31,A team,7,6,,Yes,23
Verivery,VRVR,????,2019/9/1,Jellyfish,7,7,,Yes,21
VERMUDA,,???,2017/7/13,JJJ,5,5,,Yes,21
VICTON,,??,2016/11/9,Plan A,7,7,Alice,Yes,21
VIXX,,??,2012/5/24,Jellyfish,6,6,Starlight,Yes,20
VOISPER,,????,2016/2/23,Evermore,4,4,,Yes,20
VROMANCE,,????,2016/6/12,RBW,4,4,,Yes,25
Wanna One,,???,2017/8/7,YMC,11,11,Wannable,No,20
We In The Zone,,????,2019/5/27,Choon,5,5,,Yes,22
WINNER,,??,2014/8/12,YG,4,5,Ace,Yes,21
ZE:A,,??? ???,2010/1/7,Star Empire,9,9,ZE:A Style,Hiatus,21
